requirement_id,epic,module,requirement_title,requirement_description,business_priority,complexity,estimated_story_points,assigned_role,technology,sprint,status,dependency,acceptance_criteria,risk_level,release_version,created_by,created_date
REQ-001,Customer 360 Platform,Customer Management,KYC Document Upload,Allow customers to upload KYC documents for verification,Medium,High,13,Integration Developer,Python,1,Done,None,End-to-end scenario completes successfully across environments,Low,v1.0,Project Manager,2026-01-07
REQ-002,Customer 360 Platform,Customer Management,Customer Consent Management,Capture and store GDPR/consent preferences per customer,Critical,Medium,8,Senior Consultant,Elasticsearch,1,In Progress,REQ-001,No P1/P2 defects open at the time of release,High,v1.0,Client Stakeholder,2026-01-09
REQ-003,Customer 360 Platform,Customer Management,Customer Address Validation,Validate customer address using third-party geocoding service,Medium,Medium,8,Security Analyst,Elasticsearch,1,Done,REQ-001,Feature passes security and access-control review,High,v1.0,Delivery Manager,2026-01-10
REQ-004,Customer 360 Platform,Customer Management,Customer Self-Service Portal - Phase 2,"Enable customers to view order history and manage account settings (extended requirement, cycle 2)",Low,Low,3,DevOps Engineer,REST API,1,Done,REQ-002,End-to-end scenario completes successfully across environments,Low,v1.0,Project Manager,2026-01-11
REQ-005,Customer 360 Platform,Customer Management,Customer Deduplication,Detect and merge duplicate customer records using fuzzy matching,High,Medium,8,Solution Architect,FastAPI,1,Done,REQ-002,All acceptance test scenarios pass with 100% success rate,Medium,v1.0,Product Owner,2026-01-12
REQ-006,Customer 360 Platform,Customer Management,Customer Search & Filter - Phase 2,"Implement multi-parameter customer search with pagination (extended requirement, cycle 2)",Medium,Medium,5,Senior Consultant,RabbitMQ,1,Done,None,Data accuracy validated at 100% against source system,Low,v1.0,Client Stakeholder,2026-01-13
REQ-007,Customer 360 Platform,Customer Management,Customer Account Deactivation,Support soft-delete and reactivation of customer accounts,Medium,Medium,13,Solution Architect,Jenkins,1,Done,REQ-003,Feature passes security and access-control review,Medium,v1.0,Project Manager,2026-01-14
REQ-008,Customer 360 Platform,Customer Management,Customer Deduplication - Phase 2,"Detect and merge duplicate customer records using fuzzy matching (extended requirement, cycle 2)",Critical,Medium,13,Business Analyst,PyTest,1,In Progress,None,Feature passes security and access-control review,Low,v1.0,Project Manager,2026-01-16
REQ-009,Customer 360 Platform,Customer Management,Customer Registration API - Phase 2,"Develop REST API for new customer registration with field-level validation (extended requirement, cycle 2)",Medium,High,13,Project Manager,Kubernetes,1,In Progress,REQ-004,Feature works as specified with no critical defects in UAT,Medium,v1.0,Solution Architect,2026-01-16
REQ-010,Customer 360 Platform,Customer Management,Customer Registration API,Develop REST API for new customer registration with field-level validation,Medium,Medium,5,Database Admin,SendGrid API,1,Done,REQ-007,Feature is accessible and passes WCAG 2.1 AA checks,Low,v1.0,Business Analyst,2026-01-16
REQ-011,Customer 360 Platform,Customer Management,Customer Loyalty Points,Track and redeem loyalty points against orders,Low,Medium,8,Senior Consultant,MySQL,1,In Progress,REQ-007,Feature is accessible and passes WCAG 2.1 AA checks,Medium,v1.0,Business Analyst,2026-01-18
REQ-012,Customer 360 Platform,Customer Management,Customer Blacklist Check,Screen customers against fraud/blacklist databases during onboarding,Low,Low,2,Senior Consultant,Redis,1,To Do,REQ-010,Data accuracy validated at 100% against source system,Medium,v1.0,Delivery Manager,2026-01-19
REQ-013,Customer 360 Platform,Customer Management,Customer Search & Filter,Implement multi-parameter customer search with pagination,Low,High,21,DevOps Engineer,PostgreSQL,2,Blocked,REQ-009,All acceptance test scenarios pass with 100% success rate,Medium,v1.0,Client Stakeholder,2026-01-20
REQ-014,Customer 360 Platform,Customer Management,Customer Feedback Capture - Phase 2,"Collect post-purchase feedback and NPS scores (extended requirement, cycle 2)",Medium,Low,2,Solution Architect,MySQL,2,In Progress,REQ-009,No P1/P2 defects open at the time of release,Low,v1.0,Project Manager,2026-01-20
REQ-015,Customer 360 Platform,Customer Management,Customer Consent Management - Phase 2,"Capture and store GDPR/consent preferences per customer (extended requirement, cycle 2)",High,Medium,8,Senior Consultant,Kubernetes,2,In Progress,None,Feature is accessible and passes WCAG 2.1 AA checks,High,v1.0,Client Stakeholder,2026-01-21
REQ-016,Customer 360 Platform,Customer Management,Customer Profile Update - Phase 2,"Allow customers to update profile details including contact and address (extended requirement, cycle 2)",Critical,Low,2,Project Manager,FastAPI Security,2,In Progress,None,Feature passes security and access-control review,Low,v1.0,Product Owner,2026-01-22
REQ-017,Customer 360 Platform,Customer Management,Customer Profile Update,Allow customers to update profile details including contact and address,High,Medium,8,UX Designer,GraphQL,2,Done,REQ-012,Audit log captures all required fields correctly,High,v1.0,Delivery Manager,2026-01-23
REQ-018,Customer 360 Platform,Customer Management,Customer Segmentation,Segment customers based on purchase behavior and lifetime value,Medium,Medium,5,Senior Consultant,Kubernetes,2,Blocked,None,Feature is accessible and passes WCAG 2.1 AA checks,High,v1.0,Delivery Manager,2026-01-24
REQ-019,Customer 360 Platform,Customer Management,Customer Segmentation - Phase 2,"Segment customers based on purchase behavior and lifetime value (extended requirement, cycle 2)",Medium,High,13,Security Analyst,SAP ERP Connector,2,Done,None,Feature is accessible and passes WCAG 2.1 AA checks,High,v1.0,Product Owner,2026-01-24
REQ-020,Customer 360 Platform,Customer Management,Customer Self-Service Portal,Enable customers to view order history and manage account settings,High,Medium,8,Database Admin,Stripe API,2,In Progress,REQ-018,Business sign-off obtained after UAT walkthrough,High,v1.0,Solution Architect,2026-01-26
REQ-021,Customer 360 Platform,Customer Management,Customer 360 View - Phase 2,"Build a unified customer view aggregating orders, support tickets, and preferences (extended requirement, cycle 2)",Critical,Low,3,Data Engineer,Power BI,2,To Do,REQ-020,Audit log captures all required fields correctly,High,v1.0,Project Manager,2026-01-27
REQ-022,Customer 360 Platform,Customer Management,Customer Loyalty Points - Phase 2,"Track and redeem loyalty points against orders (extended requirement, cycle 2)",High,Low,3,DevOps Engineer,SendGrid API,2,Done,REQ-019,Data accuracy validated at 100% against source system,Medium,v1.0,Business Analyst,2026-01-28
REQ-023,Customer 360 Platform,Customer Management,Customer Feedback Capture,Collect post-purchase feedback and NPS scores,Low,Medium,5,Database Admin,Terraform,2,Done,REQ-019,Audit log captures all required fields correctly,Medium,v1.0,Solution Architect,2026-01-28
REQ-024,Customer 360 Platform,Customer Management,Customer Communication Preferences,"Manage customer opt-in/opt-out preferences for SMS, email, push",High,Low,2,Security Analyst,RabbitMQ,2,To Do,None,Business sign-off obtained after UAT walkthrough,Medium,v1.0,Solution Architect,2026-01-28
REQ-025,Customer 360 Platform,Customer Management,Customer 360 View,"Build a unified customer view aggregating orders, support tickets, and preferences",High,Low,2,DevOps Engineer,Tableau,3,Done,None,Business sign-off obtained after UAT walkthrough,High,v1.1,Solution Architect,2026-01-29
REQ-026,Order-to-Cash Transformation,Order Management,Create Order API,Develop API for placing customer orders with line items,Medium,Medium,8,Product Owner,SendGrid API,3,Done,None,Audit log captures all required fields correctly,High,v1.1,Project Manager,2026-01-30
REQ-027,Order-to-Cash Transformation,Order Management,Order History Export,Allow export of order history to Excel/PDF,Medium,Medium,8,Data Engineer,PyTest,3,Done,None,Feature is accessible and passes WCAG 2.1 AA checks,High,v1.1,Product Owner,2026-01-31
REQ-028,Order-to-Cash Transformation,Order Management,Order Approval Workflow - Phase 2,"Route high-value orders through a manager approval workflow (extended requirement, cycle 2)",Critical,High,21,BI Developer,FastAPI Security,3,Done,None,Response time remains under 2 seconds under expected load,Medium,v1.1,Business Analyst,2026-01-31
REQ-029,Order-to-Cash Transformation,Order Management,Backorder Management,Handle backorders when inventory is insufficient at order time,Low,Medium,13,Security Analyst,FastAPI,3,Done,None,Response time remains under 2 seconds under expected load,Medium,v1.1,Project Manager,2026-02-01
REQ-030,Order-to-Cash Transformation,Order Management,Order History Export - Phase 2,"Allow export of order history to Excel/PDF (extended requirement, cycle 2)",High,Medium,13,Senior Consultant,Jenkins,3,Blocked,None,Business sign-off obtained after UAT walkthrough,High,v1.1,Delivery Manager,2026-02-02
REQ-031,Order-to-Cash Transformation,Order Management,Order Status Tracking - Phase 2,"Provide real-time order status updates to customers (extended requirement, cycle 2)",Low,Low,2,QA Engineer,RabbitMQ,3,Done,REQ-026,All acceptance test scenarios pass with 100% success rate,High,v1.1,Client Stakeholder,2026-02-03
REQ-032,Order-to-Cash Transformation,Order Management,Order Validation Engine,"Validate stock, pricing, and customer eligibility before confirming order",Critical,Medium,5,Python Developer,Azure DevOps,3,Done,REQ-031,End-to-end scenario completes successfully across environments,High,v1.1,Solution Architect,2026-02-04
